uname,mid,level,sex,send_time,like,is_sub,text
dsloder,20846211,5,保密,2021-05-01 21:40:36,4,True,回复 @小西豆哥哥 :华为：不好意思，我不说你（特斯拉），我是说在座的各位都是辣鸡[doge]
账号已注销,116320454,0,保密,2021-05-05 13:01:30,0,True,回复 @69921674226_bili :[热词系列_知识增加][热词系列_夺笋呐]
别离见,226190210,6,男,2021-05-25 10:12:02,0,True,你们不争气的话，别怪我下场乱杀[doge][doge]
呆呆的小鱼,13644578,5,男,2021-12-19 00:53:31,0,True,Matecar
溜溜的峰哥,358544842,5,保密,2021-04-18 11:11:45,477,False,别拿特斯拉和华为比！华为是真自动驾驶，特斯拉顶多是辅助驾驶，不在一个量级！
臭圆圆的未婚夫,245764171,5,男,2021-04-18 13:06:01,48,True,回复 @茶青青青鸟 :过不了安全审核就过不了安全审核，还北美版本[吃瓜]
fangzy0823,15180623,6,保密,2021-04-18 13:53:24,50,True,回复 @茶青青青鸟 :特斯拉fsd9.0把毫米波雷达都砍了，纯摄像头方案连天空和白墙都分不清还是别来国内了吧，国外道路也没有各种乱窜的行人和非机动车可供测试，数据都不够
h3al3r,262962946,4,保密,2021-04-18 13:57:16,10,True,华为得用激光雷达，传感器比特斯拉成本高十几万，特斯拉北美的真自动驾驶只靠廉价的摄像头就实现了
消耗6枚硬币又何妨,37421187,5,保密,2021-04-18 14:00:42,11,True,回复 @茶青青青鸟 :目前华为这套系统在这车上只发挥了40%左右[吃瓜]
消耗6枚硬币又何妨,37421187,5,保密,2021-04-18 14:02:36,13,True,回复 @h3al3r :fsd要6万多，华为这套8.5万，成本几十倍是怎么算出来的？[疑惑]
胃不好要吃软饭,441953159,5,保密,2021-04-18 14:39:12,8,True,回复 @茶青青青鸟 :因为信息问题，汽车不是消费电子，数据不受监管，所以不被通过就改了个名，说到底特斯拉的车就是垃圾，硬件跟比亚迪差远了，软件有不如北汽和华为。
solar_yan,85230517,5,保密,2021-04-18 14:57:10,26,True,回复 @h3al3r :如果你说硬件的话，特斯拉那几个120万摄像头几乎不用成本，问题是特斯拉不会让你免费用啊，6万块还不打折。再说了，就几个摄像头的解决方案放北美跑得都颤颤巍巍，9个beta版本都不敢正式发布，拿到国内复杂路况那就是个摆设，能跑的起来就见鬼了
sosoicu,3415775,5,保密,2021-04-18 15:21:09,4,True,回复 @h3al3r :就那垃圾玩意，勉强就辅助驾驶。有完整的解决方案那才可以说廉价还是昂贵，问题它这玩意自动驾驶半成品都算不上，哪来的廉价昂贵。都不一个等级的技术
wallm1314,75894036,4,保密,2021-04-18 15:30:40,0,True,回复 @消耗6枚硬币又何妨 :激光雷达[滑稽]
